Time,Host,Schema,Table Name,Number of Rows,Some2,Data Size,Index Size,Something,Some3,
05/08/2012 14:27,vserver0124,hack,table1,1200,13519.70357,17088,180,4813.792881,3463.507162,-36.49283776
05/08/2012 14:28,vserver0124,hack,table1,1210,13477.59861,17120,184,4845.988591,3446.202497,-63.79750338
05/08/2012 14:29,vserver0124,hack,table1,1220,13435.55463,17152,188,4893.657606,3435.307475,-84.69252511
05/08/2012 14:30,vserver0124,hack,table1,1230,13393.57083,17184,192,4952.01069,3432.92139,-97.07861002
05/08/2012 14:31,vserver0124,hack,table1,1240,13351.64641,17216,196,5015.185191,3440.288654,-99.71134588
05/08/2012 14:32,vserver0124,hack,table1,1250,13309.78056,17248,200,5076.834057,3457.673775,-92.32622548
05/08/2012 14:33,vserver0124,hack,table1,1260,13267.97248,17280,204,5130.763516,3484.334779,-75.6652213
05/08/2012 14:34,vserver0124,hack,table1,1270,13226.22133,17312,208,5171.555352,3518.597759,-51.4022406
05/08/2012 14:35,vserver0124,hack,table1,1280,13184.52631,17344,212,5195.111266,3558.02505,-21.97495033
05/08/2012 14:36,vserver0124,hack,table1,1290,13142.88657,17376,216,5199.064631,3599.660132,9.660131758
05/08/2012 14:37,vserver0124,hack,table1,1300,13101.30128,17408,220,5183.018258,3640.324674,40.32467423
05/08/2012 14:38,vserver0124,hack,table1,1310,13059.7696,17440,224,5148.584301,3676.937854,66.93785438
05/08/2012 14:38,vserver0124,hack,table1,1320,13018.29068,17472,228,5099.222293,3706.825884,86.82588407
05/08/2012 14:39,vserver0124,hack,table1,1330,12976.86367,17504,232,5039.891563,3727.990641,97.99064141
05/08/2012 14:40,vserver0124,hack,table1,1340,12935.48771,17536,236,4976.552984,3739.310419,99.31041922
05/08/2012 14:41,vserver0124,hack,table1,1350,12894.16194,17568,240,4915.570094,3740.652621,90.65262129
05/08/2012 14:42,vserver0124,hack,table1,1360,12852.8855,17600,244,4863.069756,3732.887084,72.88708421
05/08/2012 14:43,vserver0124,hack,table1,1370,12811.6575,17632,248,4824.326603,3717.798686,47.79868606
05/08/2012 14:44,vserver0124,hack,table1,1380,12770.47708,17664,252,4803.233105,3697.908022,17.90802231
05/08/2012 14:45,vserver0124,hack,table1,1390,12729.34335,17696,256,4801.908496,3676.218165,-13.78183482
05/08/2012 14:46,vserver0124,hack,table1,1400,12688.25542,17728,260,4820.485856,3655.912949,-44.08705072
05/08/2012 14:47,vserver0124,hack,table1,1410,12647.21241,17760,264,4857.098746,3640.037096,-69.96290372
05/08/2012 14:48,vserver0124,hack,table1,1420,12606.21341,17792,268,4908.06872,3631.190316,-88.80968388
05/08/2012 14:49,vserver0124,hack,table1,1430,12565.25754,17824,272,4968.274899,3631.266118,-98.73388216
05/08/2012 14:50,vserver0124,hack,table1,1440,12524.34387,17856,276,5031.668453,3641.261571,-98.73842857
05/08/2012 14:51,vserver0124,hack,table1,1450,12483.47151,17888,280,5091.880323,3661.177134,-88.82286633
05/08/2012 14:52,vserver0124,hack,table1,1460,12442.63954,17920,284,5142.861108,3690.016602,-69.9833978
05/08/2012 14:53,vserver0124,hack,table1,1470,12401.84705,17952,288,5179.488842,3725.887203,-44.11279742
05/08/2012 14:54,vserver0124,hack,table1,1480,12361.09311,17984,292,5198.083589,3766.189753,-13.81024739
05/08/2012 14:55,vserver0124,hack,table1,1490,12320.3768,18016,296,5196.777161,3807.879798,17.87979842
05/08/2012 14:56,vserver0124,hack,table1,1500,12279.69719,18048,300,5175.700814,3847.773486,47.77348648
05/08/2012 14:57,vserver0124,hack,table1,1510,12239.05335,18080,304,5136.972057,3882.867441,72.8674407
05/08/2012 14:58,vserver0124,hack,table1,1520,12198.44434,18112,308,5084.481913,3910.640507,90.64050741
05/08/2012 14:59,vserver0124,hack,table1,1530,12157.86923,18144,312,5023.503993,3929.307052,99.30705202
05/08/2012 15:00,vserver0124,hack,table1,1540,12117.32707,18176,316,4960.16466,3937.996359,97.9963592
05/08/2012 15:01,vserver0124,hack,table1,1550,12076.81692,18208,320,4900.827526,3936.840112,86.84011239
05/08/2012 15:02,vserver0124,hack,table1,1560,12036.33782,18240,324,4851.45411,3926.959164,66.95916373
05/08/2012 15:03,vserver0124,hack,table1,1570,11995.88883,18272,328,4817.004886,3910.350924,40.35092369
05/08/2012 15:04,vserver0124,hack,table1,1580,11955.46899,18304,332,4800.940919,3889.688684,9.688684081
05/08/2012 15:05,vserver0124,hack,table1,1590,11915.07734,18336,336,4804.876134,3868.053036,-21.94696375
05/08/2012 15:06,vserver0124,hack,table1,1600,11874.71292,18368,340,4828.415164,3848.622368,-51.37763154
05/08/2012 15:07,vserver0124,hack,table1,1610,11834.37477,18400,344,4869.193077,3834.353538,-75.6464622
05/08/2012 15:08,vserver0124,hack,table1,1620,11794.06192,18432,348,4923.112975,3827.684799,-92.31520103
05/08/2012 15:09,vserver0124,hack,table1,1630,11753.7734,18464,352,4984.757602,3830.290836,-99.70916369
05/08/2012 15:10,vserver0124,hack,table1,1640,11713.50825,18496,356,5047.933611,3842.914511,-97.08548934
05/08/2012 15:11,vserver0124,hack,table1,1650,11673.26548,18528,360,5106.293798,3865.292225,-84.70777478
05/08/2012 15:12,vserver0124,hack,table1,1660,11633.04413,18560,364,5153.9748,3896.180409,-63.81959129
05/08/2012 15:13,vserver0124,hack,table1,1670,11592.84321,18592,368,5186.186174,3933.480455,-36.51954477
05/08/2012 15:14,vserver0124,hack,table1,1680,11552.66174,18624,372,5199.691689,3974.449568,-5.550431835
05/08/2012 15:15,vserver0124,hack,table1,1690,11512.49875,18656,376,5193.134466,4015.976325,25.97632504
05/08/2012 15:16,vserver0124,hack,table1,1700,11472.35325,18688,380,5167.1733,4054.893278,54.89327771
05/08/2012 15:17,vserver0124,hack,table1,1710,11432.22425,18720,384,5124.416471,4088.295181,78.2951813
05/08/2012 15:18,vserver0124,hack,table1,1720,11392.11077,18752,388,5069.159698,4113.83088,93.83088005
05/08/2012 15:19,vserver0124,hack,table1,1730,11352.01181,18784,392,5006.954548,4129.939525,99.93952454
05/08/2012 15:20,vserver0124,hack,table1,1740,11311.9264,18816,396,4944.050685,4136.007388,96.00738798
05/08/2012 15:21,vserver0124,hack,table1,1750,11271.85353,18848,400,4886.76797,4132.429527,82.42952651
05/08/2012 15:22,vserver0124,hack,table1,1760,11231.79221,18880,404,4840.861515,4120.570088,60.57008846
05/08/2012 15:23,vserver0124,hack,table1,1770,11191.74145,18912,408,4810.943475,4102.62526,32.62526027
05/08/2012 15:24,vserver0124,hack,table1,1780,11151.70026,18944,412,4800.019674,4081.402619,1.40261887
05/08/2012 15:25,vserver0124,hack,table1,1790,11111.66764,18976,416,4809.187611,4060.039058,-29.96094164
05/08/2012 15:26,vserver0124,hack,table1,1800,11071.64259,19008,420,4837.526195,4041.685631,-58.31436922
05/08/2012 15:27,vserver0124,hack,table1,1810,11031.62411,19040,424,4882.18829,4029.190964,-80.80903555
05/08/2012 15:28,vserver0124,hack,table1,1820,10991.61122,19072,428,4938.686758,4024.815066,-95.1849337
05/08/2012 15:29,vserver0124,hack,table1,1830,10951.6029,19104,432,5001.345281,4030.002262,-99.99773775
05/08/2012 15:30,vserver0124,hack,table1,1840,10911.59815,19136,700,5063.868645,4045.236088,-94.76391216
05/08/2012 15:31,vserver0124,hack,table1,1850,10871.59599,19168,440,5119.975218,4069.990708,-80.0092919
05/08/2012 15:32,vserver0124,hack,table1,1860,10831.59541,19200,444,5164.028052,4102.783747,-57.21625255
05/08/2012 15:33,server0124,hack,table1,1870,10791.5954,19232,448,5191.601222,4141.325222,-28.67477818
05/08/2012 15:34,server0124,hack,table1,1880,10751.59498,19264,550,5199.924492,4182.74761,2.747610131
05/08/2012 15:35,server0124,hack,table1,1890,10711.59314,19296,620,5188.161634,4223.89395,33.89394998
05/08/2012 15:36,server0124,hack,table1,1900,10671.58887,19328,630,5157.494446,4261.635013,61.63501318
05/08/2012 15:37,server0124,hack,table1,1910,10631.58119,19360,605,5111.004017,4293.183695,83.18369478
05/08/2012 15:38,server0124,hack,table1,1920,10591.56909,19392,468,5053.361172,4316.37503,96.37502958
05/08/2012 15:39,server0124,hack,table1,1930,10551.55157,19424,472,4990.357207,4329.883703,99.88370306
05/08/2012 15:40,server0124,hack,table1,1940,10511.52763,19456,476,4928.32204,4333.357204,93.35720379
05/08/2012 15:45,server0124,hack,table1,1950,10471.49628,19488,480,4873.488254,4327.45124,77.45123984
