Time,Host,Schema,Table Name,Number of Rows,Data Size,Index Size
05/08/2012 14:51,vserver0124,hack,table1,115,17888,280
05/08/2012 14:52,vserver0124,hack,table1,116,17920,284
05/08/2012 14:53,vserver0124,hack,table1,117,17952,288
05/08/2012 14:54,vserver0124,hack,table1,118,17984,292
05/08/2012 14:55,vserver0124,hack,table1,119,18016,296
05/08/2012 14:56,vserver0124,hack,table1,120,18048,300
05/08/2012 14:57,vserver0124,hack,table1,121,18080,304
05/08/2012 14:58,vserver0124,hack,table1,122,18112,308
05/08/2012 14:59,vserver0124,hack,table1,123,18144,312
05/08/2012 15:00,vserver0124,hack,table1,124,18176,316
05/08/2012 15:01,vserver0124,hack,table1,125,18208,320
05/08/2012 15:02,vserver0124,hack,table1,126,18240,324
05/08/2012 15:03,vserver0124,hack,table1,127,18272,328
05/08/2012 15:04,vserver0124,hack,table1,128,18304,332
05/08/2012 15:05,vserver0124,hack,table1,129,18336,336
05/08/2012 15:06,vserver0124,hack,table1,130,18368,340
05/08/2012 15:07,vserver0124,hack,table1,131,18400,344
05/08/2012 15:08,vserver0124,hack,table1,132,18432,348
05/08/2012 15:09,vserver0124,hack,table1,133,18464,352
05/08/2012 15:10,vserver0124,hack,table1,134,18496,356
05/08/2012 15:11,vserver0124,hack,table1,135,18528,360
05/08/2012 15:12,vserver0124,hack,table1,136,18560,364
05/08/2012 15:13,vserver0124,hack,table1,137,18592,368
05/08/2012 15:14,vserver0124,hack,table1,138,18624,372
05/08/2012 15:15,vserver0124,hack,table1,139,18656,376
05/08/2012 15:16,vserver0124,hack,table1,140,18688,380
05/08/2012 15:17,vserver0124,hack,table1,141,18720,384
05/08/2012 15:18,vserver0124,hack,table1,142,18752,388
05/08/2012 15:19,vserver0124,hack,table1,143,18784,392
05/08/2012 15:20,vserver0124,hack,table1,144,18816,396
05/08/2012 15:21,vserver0124,hack,table1,145,18848,400
05/08/2012 15:22,vserver0124,hack,table1,146,18880,404
05/08/2012 15:23,vserver0124,hack,table1,147,18912,408
05/08/2012 15:24,vserver0124,hack,table1,148,18944,412
05/08/2012 15:25,vserver0124,hack,table1,149,18976,416
05/08/2012 15:26,vserver0124,hack,table1,150,19008,420
05/08/2012 15:27,vserver0124,hack,table1,151,19040,424
05/08/2012 15:28,vserver0124,hack,table1,152,19072,428
05/08/2012 15:29,vserver0124,hack,table1,153,19104,432
05/08/2012 15:30,vserver0124,hack,table1,154,19136,700
05/08/2012 15:31,vserver0124,hack,table1,155,19168,440
05/08/2012 15:32,vserver0124,hack,table1,156,19200,444
05/08/2012 15:33,server0124,hack,table1,157,19232,448
05/08/2012 15:34,server0124,hack,table1,158,19264,550
05/08/2012 15:35,server0124,hack,table1,159,19296,620
05/08/2012 15:36,server0124,hack,table1,160,19328,630
05/08/2012 15:37,server0124,hack,table1,161,19360,605
05/08/2012 15:38,server0124,hack,table1,162,19392,468
05/08/2012 15:39,server0124,hack,table1,163,19424,472
05/08/2012 15:40,server0124,hack,table1,164,19456,476
05/08/2012 15:45,server0124,hack,table1,165,19488,480
